,timestep,episode,reward,state,action,next_state,done
0,1,3,0.0,457,6.0,457.0,0
1,2,3,0.0,457,6.0,457.0,0
2,3,3,0.0,457,6.0,457.0,0
3,4,3,0.0,457,6.0,488.0,0
4,5,3,0.0,488,6.0,488.0,0
5,6,3,0.0,488,6.0,457.0,0
6,7,3,0.0,457,6.0,457.0,0
7,8,3,0.0,457,6.0,457.0,0
8,9,3,0.0,457,6.0,457.0,0
9,10,3,0.0,457,6.0,457.0,0
10,11,3,0.0,457,6.0,457.0,0
11,12,3,0.0,457,6.0,457.0,0
12,13,3,0.0,457,6.0,457.0,0
13,14,3,0.0,457,6.0,457.0,0
14,15,3,0.0,457,6.0,457.0,0
15,16,3,0.0,457,6.0,457.0,0
16,17,3,0.0,457,6.0,457.0,0
17,18,3,0.0,457,6.0,457.0,0
18,19,3,0.0,457,6.0,457.0,0
19,20,3,0.0,457,6.0,457.0,0
20,21,3,0.0,457,6.0,457.0,0
21,22,3,0.0,457,6.0,357.0,0
22,35,3,-100.0,357,1.0,752.0,1
23,1,11,0.0,649,1.0,380.0,0
24,6,11,0.0,380,1.0,380.0,0
25,7,11,0.0,380,1.0,640.0,0
26,8,11,0.0,640,1.0,640.0,0
27,9,11,0.0,640,1.0,380.0,0
28,10,11,0.0,380,1.0,380.0,0
29,11,11,0.0,380,1.0,380.0,0
30,12,11,0.0,380,1.0,380.0,0
31,13,11,0.0,380,1.0,380.0,0
32,14,11,0.0,380,1.0,380.0,0
33,15,11,0.0,380,1.0,380.0,0
34,16,11,0.0,380,1.0,649.0,0
35,17,11,0.0,649,1.0,380.0,0
36,18,11,0.0,380,1.0,380.0,0
37,19,11,0.0,380,1.0,649.0,0
38,20,11,0.0,649,1.0,649.0,0
39,21,11,0.0,649,1.0,649.0,0
40,22,11,0.0,649,1.0,649.0,0
41,23,11,0.0,649,1.0,649.0,0
42,24,11,0.0,649,1.0,649.0,0
43,25,11,0.0,649,1.0,640.0,0
44,26,11,0.0,640,1.0,170.0,0
45,27,11,0.0,170,1.0,649.0,0
46,28,11,0.0,649,1.0,170.0,0
47,29,11,0.0,170,1.0,649.0,0
48,30,11,0.0,649,1.0,649.0,0
49,31,11,0.0,649,1.0,649.0,0
50,32,11,0.0,649,1.0,117.0,0
51,33,11,0.0,117,1.0,83.0,0
52,34,11,0.0,83,1.0,649.0,0
53,35,11,0.0,649,1.0,117.0,0
54,36,11,0.0,117,1.0,640.0,0
55,37,11,0.0,640,1.0,649.0,0
56,38,11,0.0,649,1.0,83.0,0
57,39,11,0.0,83,1.0,83.0,0
58,40,11,0.0,83,1.0,649.0,0
59,41,11,0.0,649,1.0,640.0,0
60,42,11,0.0,640,1.0,640.0,0
61,43,11,0.0,640,1.0,170.0,0
62,44,11,0.0,170,1.0,170.0,0
63,45,11,100.0,170,1.0,751.0,1
64,1,12,0.0,385,1.0,385.0,0
65,4,12,0.0,385,1.0,385.0,0
66,5,12,0.0,385,1.0,385.0,0
67,6,12,0.0,385,1.0,385.0,0
68,7,12,0.0,385,1.0,385.0,0
69,8,12,0.0,385,1.0,385.0,0
70,9,12,0.0,385,1.0,385.0,0
71,10,12,0.0,385,1.0,385.0,0
72,11,12,0.0,385,1.0,385.0,0
73,12,12,0.0,385,1.0,385.0,0
74,13,12,100.0,385,1.0,751.0,1
75,1,14,0.0,627,11.0,627.0,0
76,2,14,0.0,627,21.0,627.0,0
77,3,14,0.0,627,11.0,627.0,0
78,4,14,0.0,627,6.0,627.0,0
79,5,14,0.0,627,11.0,627.0,0
80,6,14,0.0,627,11.0,627.0,0
81,7,14,0.0,627,11.0,627.0,0
82,8,14,0.0,627,11.0,627.0,0
83,9,14,0.0,627,11.0,627.0,0
84,10,14,0.0,627,11.0,627.0,0
85,11,14,0.0,627,11.0,627.0,0
86,12,14,0.0,627,11.0,627.0,0
87,13,14,0.0,627,11.0,627.0,0
88,14,14,0.0,627,11.0,736.0,0
89,15,14,0.0,736,1.0,736.0,0
90,16,14,0.0,736,1.0,736.0,0
91,17,14,0.0,736,1.0,0.0,0
92,18,14,0.0,0,1.0,203.0,0
93,19,14,0.0,203,1.0,203.0,0
94,20,14,0.0,203,1.0,203.0,0
95,21,14,0.0,203,1.0,203.0,0
96,22,14,0.0,203,1.0,203.0,0
