,0
192,17.0
210,18.0
654,18.0
167,15.0
659,19.0
292,5.0
536,24.0
576,9.0
126,1.0
233,10.0
642,16.0
355,25.0
546,4.0
738,17.0
711,11.0
324,9.0
161,1.0
713,5.0
172,4.0
603,16.0
66,3.0
559,3.0
399,22.0
311,18.0
575,6.0
498,21.0
96,20.0
639,3.0
254,3.0
516,24.0
105,22.0
462,1.0
721,4.0
217,19.0
441,8.0
650,2.0
646,25.0
403,6.0
719,3.0
449,19.0
270,10.0
689,5.0
593,18.0
616,11.0
264,22.0
588,2.0
39,10.0
121,16.0
371,10.0
378,20.0
296,22.0
594,25.0
300,6.0
198,10.0
547,8.0
717,5.0
147,18.0
417,22.0
443,5.0
456,17.0
432,18.0
132,17.0
322,10.0
331,20.0
282,8.0
461,2.0
720,9.0
519,19.0
407,6.0
534,16.0
35,14.0
252,8.0
543,5.0
693,6.0
184,5.0
527,11.0
587,19.0
595,13.0
626,11.0
458,14.0
175,12.0
668,23.0
375,16.0
50,23.0
453,16.0
250,7.0
235,21.0
279,24.0
487,10.0
258,20.0
420,21.0
555,13.0
571,22.0
229,8.0
580,4.0
13,14.0
91,1.0
724,22.0
506,4.0
118,5.0
158,3.0
116,19.0
45,13.0
160,1.0
136,9.0
625,1.0
602,6.0
15,14.0
92,17.0
544,1.0
502,8.0
545,4.0
83,6.0
483,6.0
220,1.0
383,23.0
529,6.0
69,11.0
747,17.0
209,23.0
722,9.0
705,4.0
295,4.0
119,25.0
259,3.0
590,18.0
224,4.0
749,11.0
284,22.0
638,14.0
746,5.0
303,18.0
505,10.0
691,6.0
475,25.0
302,20.0
29,12.0
736,2.0
341,16.0
221,12.0
640,13.0
79,12.0
528,1.0
578,1.0
702,6.0
87,4.0
564,3.0
396,4.0
392,18.0
162,25.0
362,17.0
363,14.0
424,15.0
316,23.0
348,9.0
36,7.0
156,23.0
263,16.0
377,14.0
67,23.0
195,14.0
2,24.0
19,4.0
219,16.0
533,15.0
251,16.0
239,14.0
204,3.0
131,20.0
310,1.0
335,6.0
31,16.0
618,1.0
11,20.0
565,7.0
142,14.0
405,25.0
706,16.0
636,21.0
306,10.0
24,20.0
583,14.0
663,2.0
283,6.0
51,4.0
419,17.0
480,4.0
410,11.0
166,11.0
404,23.0
460,23.0
343,20.0
325,5.0
484,7.0
289,1.0
499,19.0
737,2.0
561,22.0
269,3.0
334,1.0
164,14.0
346,7.0
416,9.0
107,24.0
673,8.0
743,10.0
103,23.0
153,18.0
97,5.0
664,1.0
344,17.0
351,12.0
230,9.0
42,5.0
385,23.0
748,3.0
124,25.0
169,25.0
150,11.0
494,14.0
692,14.0
632,4.0
579,23.0
154,22.0
361,11.0
134,9.0
337,10.0
54,23.0
537,25.0
82,20.0
243,12.0
739,12.0
481,11.0
317,17.0
658,13.0
622,14.0
486,12.0
418,5.0
390,4.0
476,7.0
